,movie_num,movie_name,movie_year,movie_country,movie_type,movie_director,movie_score,movie_assess
135,136,真爱至上,2003,英国,喜剧,理查德·柯蒂斯,8.6,410557
136,137,疯狂原始人,2013,美国,喜剧,科克·德·米科,8.7,486914
139,140,萤火虫之墓,1988,日本,动画,高畑勋,8.7,257078
140,141,东邪西毒,1994,香港,剧情,王家卫,8.6,339605
141,142,英雄本色,1986,香港,动作,吴宇森,8.6,252779
142,143,贫民窟的百万富翁,2008,英国,剧情,丹尼·鲍尔,8.5,477651
143,144,黑天鹅,2010,美国,剧情,达伦·阿罗诺夫斯基,8.5,523388
144,145,记忆碎片,2000,美国,犯罪,克里斯托弗·诺兰,8.6,354908
145,146,血战钢锯岭,2016,美国,剧情,梅尔·吉布森,8.7,440135
146,147,心迷宫,2014,中国大陆,剧情,忻钰坤,8.7,255828
147,148,傲慢与偏见,2005,法国,剧情,乔·怀特,8.5,400941
148,149,时空恋旅人,2013,英国,喜剧,理查德·柯蒂斯,8.7,280325
149,150,荒蛮故事,2014,阿根廷,剧情,达米安·斯兹弗隆,8.8,205483
150,151,雨人,1988,美国,剧情,巴瑞·莱文森,8.7,255061
151,152,纵横四海,1991,香港,剧情,吴宇森,8.7,208829
153,154,达拉斯买家俱乐部,2013,美国,剧情,让-马克·瓦雷,8.7,248964
154,155,玩具总动员3,2010,美国,喜剧,李·昂克里奇,8.8,250371
157,158,花样年华,2000,香港,剧情,王家卫,8.6,317438
158,159,海边的曼彻斯特,2016,美国,剧情,肯尼斯·罗纳根,8.6,276918
160,161,恋恋笔记本,2004,美国,剧情,尼克·卡索维茨,8.5,363937
163,164,被解救的姜戈,2012,美国,剧情,昆汀·塔伦蒂诺,8.6,333899
165,166,头脑特工队,2015,美国,喜剧,彼特·道格特,8.7,315946
166,167,无敌破坏王,2012,美国,喜剧,瑞奇·莫尔,8.7,283780
167,168,冰川时代,2002,美国,喜剧,卡洛斯·沙尔丹哈,8.5,355694
168,169,你的名字。,2016,日本,剧情,新海诚,8.4,689080
169,170,三块广告牌,2017,美国,剧情,马丁·麦克唐纳,8.7,450800
173,174,爆裂鼓手,2014,美国,剧情,达米恩·查泽雷,8.6,306060
174,175,人工智能,2001,美国,冒险,史蒂文·斯皮尔伯格,8.6,245105
176,177,穿越时空的少女,2006,日本,剧情,细田守,8.6,233887
178,179,猜火车,1996,英国,剧情,丹尼·博伊尔,8.5,295630
179,180,模仿游戏,2014,英国,剧情,莫滕·泰杜姆,8.6,333485
181,182,房间,2015,爱尔兰,剧情,伦尼·阿伯拉罕森,8.8,213347
183,184,完美陌生人,2016,意大利,剧情,保罗·格诺维瑟,8.5,312000
184,185,恐怖游轮,2009,英国,剧情,克里斯托弗·史密斯,8.4,429835
186,187,魔女宅急便,1989,日本,动画,宫崎骏,8.6,259563
187,188,阿飞正传,1990,香港,犯罪,王家卫,8.5,277280
188,189,香水,2006,德国,剧情,汤姆·提克威,8.5,344485
191,192,朗读者,2008,美国,剧情,史蒂芬·戴德利,8.5,322976
192,193,黑客帝国3：矩阵革命,2003,美国,动作,Andy,8.6,208762
195,196,谍影重重2,2004,美国,动作,保罗·格林格拉斯,8.6,206424
196,197,谍影重重,2002,美国,动作,道格·里曼,8.5,246266
197,198,战争之王,2005,美国,剧情,安德鲁·尼科尔,8.6,213747
200,201,青蛇,1993,香港,剧情,徐克,8.5,286580
202,203,疯狂的石头,2006,中国大陆,喜剧,宁浩,8.4,423375
