movie_name,movie_year,movie_country,movie_type,movie_director,movie_score,movie_assess
当幸福来敲门,2006,美国,剧情,加布里尔·穆奇诺,9.0,802066
怦然心动,2010,美国,剧情,罗伯·莱纳,9.0,885428
少年派的奇幻漂流,2012,美国,剧情,李安,9.0,801768
飞屋环游记,2009,美国,剧情,彼特·道格特,8.9,717628
大话西游之月光宝盒,1995,香港,喜剧,刘镇伟,9.0,618819
搏击俱乐部,1999,美国,剧情,大卫·芬奇,9.0,515015
罗马假日,1953,美国,喜剧,威廉·惠勒,9.0,536896
哈尔的移动城堡,2004,日本,动画,宫崎骏,9.0,520597
闻香识女人,1992,美国,剧情,马丁·布莱斯,9.0,458621
死亡诗社,1989,美国,剧情,彼得·威尔,9.0,389310
指环王2：双塔奇兵,2002,美国,剧情,彼得·杰克逊,9.0,377718
寻梦环游记,2017,美国,喜剧,李·昂克里奇,9.0,730293
V字仇杀队,2005,美国,剧情,詹姆斯·麦克特格,8.8,594642
指环王1：魔戒再现,2001,新西兰,剧情,彼得·杰克逊,9.0,423316
狮子王,1994,美国,剧情,Roger,9.0,402832
美丽心灵,2001,美国,传记,朗·霍华德,8.9,412658
情书,1995,日本,剧情,岩井俊二,8.9,513165
本杰明·巴顿奇事,2008,美国,剧情,大卫·芬奇,8.8,538297
看不见的客人,2016,西班牙,剧情,奥里奥尔·保罗,8.8,571893
黑客帝国,1999,美国,动作,安迪·沃卓斯基,8.9,402689
西西里的美丽传说,2000,意大利,剧情,朱塞佩·托纳多雷,8.8,509455
哈利·波特与魔法石,2001,美国,奇幻,Chris,8.9,422168
让子弹飞,2010,中国大陆,剧情,姜文,8.7,877786
拯救大兵瑞恩,1998,美国,剧情,史蒂文·斯皮尔伯格,8.9,343275
致命魔术,2006,美国,剧情,克里斯托弗·诺兰,8.8,467465
七宗罪,1995,美国,剧情,大卫·芬奇,8.8,561298
被嫌弃的松子的一生,2006,日本,剧情,中岛哲也,8.9,414785
音乐之声,1965,美国,剧情,罗伯特·怀斯,9.0,315856
低俗小说,1994,美国,剧情,昆汀·塔伦蒂诺,8.8,461070
天使爱美丽,2001,法国,喜剧,让-皮埃尔·热内,8.7,623865
沉默的羔羊,1991,美国,剧情,乔纳森·戴米,8.8,467128
勇敢的心,1995,美国,动作,梅尔·吉布森,8.9,370320
猫鼠游戏,2002,美国,传记,史蒂文·斯皮尔伯格,8.9,359841
蝴蝶效应,2004,美国,剧情,埃里克·布雷斯,8.7,514197
剪刀手爱德华,1990,美国,剧情,蒂姆·波顿,8.7,638508
春光乍泄,1997,香港,剧情,王家卫,8.9,342307
